id,artist_group,artist_name,Conceptual Group 1,Conceptual Group 2,theme,quote,paragraph_number_in_interview,pdf_page,order
I0066,Installation artists,Ken Devine,B,Creative State,Inspiration from inside,"Inspiration, probably, is a uniqueness that comes out of parts of a person, which did not come together before…",35,275,403
I0067,Installation artists,Russell Jenkins (chanting artist),B,Creative State,Inspiration from inside,Chant... feels... expansion from the heart.,14,275,404
I0068,Installation artists,Ken Devine,B,Creative State,Inspiration from outside,"… there is inspiration in anything, not just in art.",35,275,405
I0069,Installation artists,David Johnson,B,Creative State,Inspiration from outside,[inspiration is]… things will be randomly joining together at various points. Then an image would come to my head… combination of two ideas will produce the right thing. If you … think too theoretically … it ends up one-dimensional...,40,275,406
I0070,Installation artists,Katayoun Dowlatshahi,B,Creative State,Inspiration from outside,I do not impose my personal identity on the work in question…I allow the context to influence the work.,15,275,407
I0071,Installation artists,Roi Vaara,B,Creative State,Inspiration from outside,"Practical things which belong to daily life take up most of my time, and they are the source from which the ideas for my performances are coming.",19,275,408
I0072,Installation artists,Katayoun Dowlatshahi,B,Creative State,Inspiration from outside,… allowing the internalisation and processing of those images to influence a work of art.,28,275,409
I0073,Installation artists,Roi Vaara,B,Creative State,Inspiration from outside,It is inspiring to find new surprising ways about life…the everyday life and other cultural phenomena are the sources for inspiration.,37,275,410
I0074,Installation artists,David Johnson,C,Faculties,Intuition,"… the idea of something that you could not see yet is the centre of the work… things you cannot see but know about, therefore affect the way you see: the non-visible.",18,276,411
I0075,Installation artists,Katayoun Dowlatshahi,C,Faculties,Intuition,.. not to try to force yourself … but to allow your intuition to guide your process.,19,276,412
I0076,Installation artists,Ken Devine,C,Reasoning,Logic,Someone can say something about red which is very similar to what someone else said about blue… it creates a new set of relationships that we may have not been aware of before.,10,276,413
I0077,Installation artists,David Johnson,C,Reasoning,Logic,"… the idea of something that you could not see yet is the centre of the work… things you cannot see but know about, therefore affect the way you see: the non-visible.",18,276,414
I0078,Installation artists,Katayoun Dowlatshahi,C,Reasoning,Logic,"…experience epiphany… analysis of it I would … see connections with thoughts and ideas, and be overwhelmed by strong emotions.",33,276,415
I0079,Installation artists,Roi Vaara,C,Reasoning,Logic,"… I had a phase where I suddenly felt that I had done all I could do in art, and that there was nothing else for me to add. …I had to accept the situation. This acceptance somehow solved the problem. It made me leave behind all that I had done before and so I became more open to embrace new ideas…",26,276,416
I0080,Installation artists,Russell Jenkins (chanting artist),C,Reasoning,Logic,Repetitiveness takes your head out of thinking.,17,276,417
I0081,Installation artists,Ken Devine,C,Reasoning,Logic,"… logical argument … an absurd position, because you are limited to logic.",11,276,418
I0082,Installation artists,David Johnson,C,Reasoning,Logic,… ambiguity is very important both in art and philosophy.,28,276,419
I0083,Installation artists,Katayoun Dowlatshahi,C,Reasoning,Logic,My … epiphany happen when I … a deeper connection with myself… don’t fully understand it but sense…,36,276,420
I0084,Installation artists,Roi Vaara,C,Reasoning,Logic,…it can be very satisfying to figure out things and create order using different elements.,37,276,421
I0085,Installation artists,Russell Jenkins (chanting artist),C,Reasoning,Logic,…communication… not so much about the … language… but rather about the energy.,27,276,422
I0086,Installation artists,Ken Devine,C,Reasoning,Logic,"… behind the ‘simple’ things that people say lie complex relations that they have with life, and they use language to convey that. Language is illogical…",13,276,423
I0087,Installation artists,David Johnson,C,Reasoning,Logic,"… the human eye and the inner eye, the confusion about the two becoming the same thing.",36,276,424
I0088,Installation artists,Ken Devine,C,Reasoning,Logic,Thought … is saying something which is partly true and partly false. Rarely can you say a complete truth…,15,276,425
I0089,Installation artists,David Johnson,C,Reasoning,Logic,"Quite often it will be months or years after that I suddenly realise what the ideas deal with, and it never occurred to me before.",41,276,426
I0090,Installation artists,Ken Devine,C,Reasoning,Logic,"We represent things by creating things, and our creations can be concrete or abstract, or feelings.",17,276,427
I0091,Installation artists,Ken Devine,C,Reasoning,Logic,Meanings make our relationships with concepts and with objects.,21,276,428
I0092,Installation artists,Ken Devine,C,Reasoning,Logic,Rationality is … trying to … be replicated…,23,276,429
I0093,Installation artists,Ken Devine,A,World & Place,Object,"… people talk about colours in terms of emotion… object … event, or a person… there are those who have a very clear rational idea…",8,276,430
I0094,Installation artists,David Johnson,A,World & Place,Object,… postmodernism … allows us to think we only have surfaces of things.,22,276,431
I0095,Installation artists,Roi Vaara,A,World & Place,Object,[use body so] …performances are meant to create a common ground with the audience.,4,276,432
I0096,Installation artists,Ken Devine,A,World & Place,Object,"We represent things by creating things, and our creations can be concrete or abstract, or feelings.",17,276,433
I0097,Installation artists,Roi Vaara,A,World & Place,Object,Usually I use the sound that the actions in the performance create…,7,276,434
I0098,Installation artists,Ken Devine,A,World & Place,Object,[Middle Ages] ‘happy making’ technology… Objects are not the driving force in life.,19,277,435
I0099,Installation artists,Ken Devine,A,World & Place,Object,Meanings make our relationships with concepts and with objects.,21,277,436
I0100,Installation artists,Katayoun Dowlatshahi,A,World & Place,Place,I do not impose my personal identity on the work in question…I allow the context to influence the work.,15,277,437
I0101,Installation artists,Ken Devine,C,Identity,Point of view,Someone can say something about red which is very similar to what someone else said about blue… it creates a new set of relationships that we may have not been aware of before.,10,277,438
I0102,Installation artists,Katayoun Dowlatshahi,C,Identity,Point of view,…many individual fragments … we reflect that one light source…,7,277,439
I0103,Installation artists,Roi Vaara,C,Identity,Point of view,…colours carry different meanings within different cultures.,14,277,440
I0104,Installation artists,Russell Jenkins (chanting artist),C,Identity,Point of view,…say…and three people will pick it differently …depends on the way the person is feeling and receiving the message.,24,277,441
I0105,Installation artists,Ken Devine,C,Identity,Point of view,"Language has that ability because … People change continually. So, you have to think of all the gaps in between truth and untruth…",16,277,442
I0106,Installation artists,Katayoun Dowlatshahi,C,Identity,Point of view,… the relationship people have with light is different around the world.,9,277,443
I0107,Installation artists,Roi Vaara,C,Identity,Point of view,…it is up to our personal beliefs alone how we see and understand things around us.,26,277,444
I0108,Installation artists,Ken Devine,C,Identity,Point of view,"Whether something is true or false, that is a matter of position, a point from which we see it.",24,277,445
I0109,Installation artists,Roi Vaara,C,Identity,Point of view,"When circumstances change, the ways we look at things change as well and new opportunities appear.",34,277,446
I0110,Installation artists,Ken Devine,C,Identity,Point of view,… meanings are created through… the way in which we frame what we see and thus frame what we decide to exclude.,25,277,447
I0111,Installation artists,David Johnson,C,Identity,Self discovery through art,"Quite often it will be months or years after that I suddenly realise what the ideas deal with, and it never occurred to me before.",41,277,448
I0112,Installation artists,Ken Devine,C,Faculties,Senses,… having your eyes open…in every moment…,37,277,449
I0113,Installation artists,David Johnson,C,Faculties,Senses,"… the idea of something that you could not see yet is the centre of the work… things you cannot see but know about, therefore affect the way you see: the non-visible.",18,277,450
I0114,Installation artists,Katayoun Dowlatshahi,C,Faculties,Senses,My … epiphany happen when I … a deeper connection with myself… don’t fully understand it but sense…,36,277,451
I0115,Installation artists,Roi Vaara,C,Faculties,Senses,Usually I use the sound that the actions in the performance create…,7,277,452
I0116,Installation artists,David Johnson,C,Faculties,Senses,"… the human eye and the inner eye, the confusion about the two becoming the same thing.",36,277,453
I0117,Installation artists,David Johnson,C,Faculties,Senses,"… when I think of an idea I may not be aware of all the implications … But I am aware of a sort of depth of possibilities ... You can do that intuitively, have a feeling for that. Artists’ sensibility is very close to the spiritual attitude to life.",42,278,454
I0118,Installation artists,Ken Devine,B,Creative State,Surrender,… having your eyes open…in every moment…,37,278,455
I0119,Installation artists,Roi Vaara,B,Creative State,Surrender,"… I had a phase where I suddenly felt that I had done all I could do in art, and that there was nothing else for me to add. …I had to accept the situation. This acceptance somehow solved the problem. It made me leave behind all that I had done before and so I became more open to embrace new ideas…",26,278,456
I0120,Installation artists,Roi Vaara,B,Creative State,Surrender,A good art experience is for me like a powerful feeling of being alive. It is like being under a spell or a trance.,31,278,457
I0121,Installation artists,Ken Devine,A,Visual Language,Symbol,"We represent things by creating things, and our creations can be concrete or abstract, or feelings.",17,278,458
I0122,Installation artists,Ken Devine,A,Visual Language,Symbol,Meanings make our relationships with concepts and with objects.,21,278,459
I0123,Installation artists,Ken Devine,A,Visual Language,Symbol,Colour… is so concrete and yet totally abstract.,29,278,460
I0124,Installation artists,David Johnson,B,Transcendence,Transcendental reality (independent of artist),"… the idea of something that you could not see yet is the centre of the work… things you cannot see but know about, therefore affect the way you see: the non-visible.",18,278,461
I0125,Installation artists,Katayoun Dowlatshahi,B,Transcendence,Transcendental reality (independent of artist),… unaware of our whole being…,36,278,462
I0126,Installation artists,Russell Jenkins (chanting artist),B,Transcendence,Transcendental reality (independent of artist),[the sound is]… far beyond from what I can produce.,2,278,463
I0127,Installation artists,David Johnson,B,Transcendence,Transcendental reality (independent of artist),Words are … sort of one removed from the world.,34,278,464
I0128,Installation artists,Russell Jenkins (chanting artist),B,Transcendence,Transcendental reality (independent of artist),The original sound is still in a process; it is still being produced.,7,278,465
I0129,Installation artists,Katayoun Dowlatshahi,B,Transcendence,"Transcendental reality (independent, and communicated through physical)","…draw something so intangible, like light?",2,278,466
I0130,Installation artists,Roi Vaara,B,Transcendence,"Transcendental reality (independent, and communicated through physical)","…it did not make much sense to try to catch those [nature] phenomena in paintings or in photos, because they were much richer in reality.",39,278,467
I0131,Installation artists,Roi Vaara,B,Transcendence,"Transcendental reality (independent, and communicated through physical)",…life is art in itself.,19,278,468
I0132,Installation artists,Ken Devine,B,Transcendence,Transcendental reality (which connects through artist),"Inspiration, probably, is a uniqueness that comes out of parts of a person, which did not come together before…",,278,469
I0133,Installation artists,David Johnson,B,Transcendence,Transcendental reality (which connects through artist),"Quite often it will be months or years after that I suddenly realise what the ideas deal with, and it never occurred to me before.",41,278,470
I0134,Installation artists,Katayoun Dowlatshahi,B,Transcendence,Transcendental reality (which connects through artist),"…experience epiphany… analysis of it I would … see connections with thoughts and ideas, and be overwhelmed by strong emotions.",33,278,471
I0135,Installation artists,David Johnson,B,Transcendence,Transcendental reality (which connects through artist),"… when I think of an idea I may not be aware of all the implications … But I am aware of a sort of depth of possibilities ... You can do that intuitively, have a feeling for that. Artists’ sensibility is very close to the spiritual attitude to life.",42,279,472
I0136,Installation artists,Katayoun Dowlatshahi,B,Transcendence,Transcendental reality (which connects through artist),I would end up in tears … I as the conscious artist was not fully in control of my process. I was only able to bring my understanding to it after the work had been created.,33,279,473
I0137,Installation artists,Ken Devine,B,Transcendence,Transcendental reality (which the artist connects to),…a moment of recognition… Of whatever it is that lit a fire in you.,35/37,279,474
I0138,Installation artists,David Johnson,B,Transcendence,Transcendental reality (which the artist connects to),"… find a way to experience the world in a spiritual way, while not believing in anything beyond this world.",23,279,475
I0139,Installation artists,Roi Vaara,B,Transcendence,Transcendental reality (which the artist connects to),I create art in order to participate in the process of the continuous creation of the world.,32,279,476
I0140,Installation artists,Katayoun Dowlatshahi,C,Faculties,Unconscious,When I am in my creative process I have these moments… [of epiphany],39,279,477
I0141,Installation artists,Katayoun Dowlatshahi,B,Creative State,Urge to create,… I am not a kind of a person who could spontaneously create…,27,279,478
I0142,Installation artists,Roi Vaara,B,Creative State,Urge to create,…art makes me live.,19,279,479
I0143,Installation artists,Roi Vaara,B,Creative State,Urge to create,"… I had a phase where I suddenly felt that I had done all I could do in art, and that there was nothing else for me to add. …I had to accept the situation. This acceptance somehow solved the problem. It made me leave behind all that I had done before and so I became more open to embrace new ideas…",26,279,480
I0144,Installation artists,Roi Vaara,B,Creative State,Urge to create,A good art experience is for me like a powerful feeling of being alive. It is like being under a spell or a trance.,31,279,481
I0145,Installation artists,Ken Devine,A,Language & Representation,Word,"… behind the ‘simple’ things that people say lie complex relations that they have with life, and they use language to convey that. Language is illogical…",13,279,482
I0146,Installation artists,David Johnson,A,Language & Representation,Word,"If you try to formalise ideas then you fix them … justifying one path only… whatever I am saying, I am cutting out a whole lot of possibilities that should be left in.",32,279,483
I0147,Installation artists,Katayoun Dowlatshahi,A,Language & Representation,Word,I am very careful not to use certain words to describe the nature of my work… but I do feel … spiritual without being religious.,5,279,484
I0148,Installation artists,Russell Jenkins (chanting artist),A,Language & Representation,Word,…communication… not so much about the … language… but rather about the energy.,27,279,485
I0149,Installation artists,Ken Devine,A,Language & Representation,Word,Thought … is saying something which is partly true and partly false. Rarely can you say a complete truth…,15,279,486
I0150,Installation artists,David Johnson,A,Language & Representation,Word,Words are … sort of one removed from the world.,34,279,487
I0151,Installation artists,Katayoun Dowlatshahi,A,Language & Representation,Word,… difficult to articulate my spiritual values and beliefs.,25,279,488
I0152,Installation artists,Ken Devine,A,Language & Representation,Word,"Language has that ability because … People change continually. So, you have to think of all the gaps in between truth and untruth…",16,279,489
I0153,Installation artists,Russell Jenkins (chanting artist),A,Language & Representation,Words/image relation,Poet Hafez: ‘…You can use my soft words as a cushion for your head.’,21,280,490
