id,artist_group,artist_name,Conceptual Group 1,Conceptual Group 2,theme,quote,paragraph_number_in_interview,pdf_page,order
PA0075,Painters,Paul Hartal,C,Reasoning,Logic,… we can gain deeper insights about the true nature of the universe through our senses than through our intellect.,14,269,254
PA0076,Painters,Felice Varini,C,Reasoning,Logic,[art is about]… thinking and choosing.,53,269,255
PA0077,Painters,Melanie Chan,C,Reasoning,Logic,Artistic expression … exceed the conceptual boundaries of language…,26,269,256
PA0078,Painters,Paul Hartal,C,Reasoning,Logic,While I paint or write I focus on the work itself and do not reflect on theory…,17,269,257
PA0079,Painters,Felice Varini,C,Reasoning,Logic,… there are moments of ambiguity… uncertainty is necessary … it makes us … human beings.,55,269,258
PA0080,Painters,Paul Hartal,C,Reasoning,Logic,Aesthetic philosophies depend on context and history…,30,269,259
PA0081,Painters,Felice Varini,C,Reasoning,Logic,… the questions themselves keep evolving...,57,269,260
PA0082,Painters,Paul Hartal,C,Reasoning,Logic,"…science does not discover how real is real. Instead, it discovers what it can say about nature in human language (which includes mathematics).",43,269,261
PA0083,Painters,Paul Hartal,C,Reasoning,Logic,"… scientific creativity, similarly to artistic creativity, incorporates irrational components.",45,269,262
PA0084,Painters,Paul Hartal,C,Reasoning,Logic,Intuition and imagination play a … role in both art and science. Transcending the state of existing conditions necessitates innovative leaps into uncharted areas.,24,269,263
PA0085,Painters,Felice Varini,A,World & Place,Place,"… the reality itself to be the installation…and I am working with it…in order to reach for new forms, new lights and new colours.",35,269,264
PA0086,Painters,Melanie Chan,A,World & Place,Place,…necessary … to pay attention to nature and it is then that I get ... urge to express that relationship.,19,269,265
PA0087,Painters,Felice Varini,A,World & Place,Place,My relationship with the space is trying to discover more things that we can not normally see.,37,269,266
PA0088,Painters,Felice Varini,A,World & Place,Place,"I do not believe in inspiration… Instead, I explore the space… look through … make decisions, and then it all clicks right into place. It is like writing… it happens.",47,269,267
PA0089,Painters,Natalie Dekel,C,Identity,Point of view,… there is no such thing as one definition of art…,12,269,268
PA0090,Painters,Felice Varini,C,Identity,Point of view,I start my works from one vantage point… simply the height of my own eye level.,6,269,269
PA0091,Painters,Natalie Dekel,C,Identity,Point of view,"… it depends on the personality, not on the work. What I see is what interests me as a person.",12,269,270
PA0092,Painters,Felice Varini,C,Identity,Point of view,"The painting exists as a whole, with its complete shape as well as the fragments…",12,269,271
PA0093,Painters,Felice Varini,C,Identity,Point of view,My concern is what happens outside the vantage point of view.,12,269,272
